Name,Price ($),Air Extraction Rate (m3h),Decibel Level (dBA),URL
125mm Ventair All Purpose Wall/Ceiling Exhaust Fan,88,70,34,https://www.ceilingfansdirect.com.au/product/exhaust-fans/125mm-ventair-all-purpose-wall-ceiling-exhaust-fan-21734
125 Slimline PRO-V Wall/Ceiling Exhaust Fan,88,36,36,https://www.ceilingfansdirect.com.au/product/exhaust-fans/125-slimline-pro-v-wall-ceiling-exhaust-fan-21277
Large Martec White Saturn DIY Square Bathroom Exhaust Fan With Flex & Plug,89,320,45,https://www.ceilingfansdirect.com.au/product/exhaust-fans/exhaust-fans-170/large-martec-white-saturn-diy-square-bathroom-exhaust-fan-with-flex-plug-20938
Square White 3A Bathroom DIY Exhaust Fan,58,270,,https://www.ceilingfansdirect.com.au/product/exhaust-fans/square-white-3a-bathroom-diy-exhaust-fan-20693
Large Martec White Flow Square Low Profile DIY Exhaust Fan,159,390,,https://www.ceilingfansdirect.com.au/product/exhaust-fans/large-martec-white-flow-square-low-profile-diy-exhaust-fan-19364
Black Square Ventair Glass Panel Airbus 200 Pro-V IP44 Bathroom Exhaust Fan,148,175,38,https://www.ceilingfansdirect.com.au/product/exhaust-fans/black-square-ventair-glass-panel-airbus-200-pro-v-ip44-bathroom-exhaust-fan-19197
Black Round Ventair Glass Panel Airbus 200 Pro-V IP44 Bathroom Exhaust Fan,148,175,38,https://www.ceilingfansdirect.com.au/product/exhaust-fans/black-round-ventair-glass-panel-airbus-200-pro-v-ip44-bathroom-exhaust-fan-19194
Silver Square Ventair Airbus 200 Pro-V Bathroom Exhaust Fan,138,175,38,https://www.ceilingfansdirect.com.au/product/exhaust-fans/silver-square-ventair-airbus-200-pro-v-bathroom-exhaust-fan-14073
Silver Round Ventair Airbus 200 Pro-V Bathroom Exhaust Fan,138,175,38,https://www.ceilingfansdirect.com.au/product/exhaust-fans/silver-round-ventair-airbus-200-pro-v-bathroom-exhaust-fan-14064
Silver Square Ventair Airbus 250 Pro-V Bathroom Exhaust Fan,178,378,42,https://www.ceilingfansdirect.com.au/product/exhaust-fans/silver-square-ventair-airbus-250-pro-v-bathroom-exhaust-fan-14042
Silver Round Ventair Airbus 250 Pro-V Bathroom Exhaust Fan,178,378,,https://www.ceilingfansdirect.com.au/product/exhaust-fans/silver-round-ventair-airbus-250-pro-v-bathroom-exhaust-fan-13885
Large Whisper DIY High Volume Round Exhaust Fan + Flex And Plug,79,750,52,https://www.ceilingfansdirect.com.au/product/exhaust-fans/large-whisper-diy-high-volume-round-exhaust-fan-flex-and-plug-9989
"10"" Ultraflo High Volume White Exhaust Fan",85,750,48,https://www.ceilingfansdirect.com.au/product/exhaust-fans/10--ultraflo-high-volume-white-exhaust-fan-4082
35W Brilliant Tornado DIY Exhaust Fan,63,450,50,https://www.ceilingfansdirect.com.au/product/exhaust-fans/exhaust-fans-170/brilliant-tornado-diy-exhaust-fan-35w-1991205-28214
25W Brilliant Tornado DIY Exhaust Fan,58,280,50,https://www.ceilingfansdirect.com.au/product/exhaust-fans/exhaust-fans-170/brilliant-tornado-diy-exhaust-fan-25w-1991105-28210
Small Ventair White Ovation Square Exhaust Fan,108,270,43,https://www.ceilingfansdirect.com.au/product/exhaust-fans/small-ventair-white-ovation-square-exhaust-fan-23699
Small Ventair White Olson Round Exhaust Fan,95,270,43,https://www.ceilingfansdirect.com.au/product/exhaust-fans/small-ventair-white-olson-round-exhaust-fan-23696
White Hybrid Square DIY Exhaust Fan,228,482,36,https://www.ceilingfansdirect.com.au/product/exhaust-fans/white-hybrid-square-diy-exhaust-fan-23130
